00:50:C2:0E:B0/36	iREZTechnolo
00:50:C2:16:00/36	TTITelecomIn
00:50:C2:19:70/36	EPMTecnologi
00:50:C2:24:70/36	GradualTecno
00:50:C2:26:20/36	GaozhiScienc
00:50:C2:2E:C0/36	BookDigital
00:50:C2:32:C0/36	IntegratedSi
00:50:C2:3B:00/36	MicrotargetT
00:50:C2:46:00/36	Vitelnet
00:50:C2:4B:50/36	ValleyTecnol
00:50:C2:4B:80/36	HongdianTech
00:50:C2:4E:E0/36	CorelogicCom
00:50:C2:54:C0/36	Sintecnos
00:50:C2:56:50/36	WorkpowerTec
00:50:C2:5B:60/36	KontronTechn
00:50:C2:5B:90/36	TaiwanVideoM
00:50:C2:5B:C0/36	GuangzhouHui
00:50:C2:5C:90/36	QuanlongTech
00:50:C2:5D:60/36	BioAccessTec
00:50:C2:60:60/36	HuazhongTech
00:50:C2:60:A0/36	GradualTecno
00:50:C2:60:B0/36	QianJinElect
00:50:C2:68:40/36	REASONTecnol
00:50:C2:69:40/36	Initel
00:50:C2:74:00/36	McQuayChina
00:50:C2:7F:F0/36	MaiWeiCableT
00:50:C2:82:C0/36	VitelNet
00:50:C2:86:C0/36	CondigiTelev
00:50:C2:8C:60/36	GradualTecno
00:50:C2:8E:00/36	PenndaTechno
00:50:C2:90:20/36	ChinaRailway
00:50:C2:98:B0/36	Ti2000Tecnol
00:50:C2:9C:40/36	VitelNet
00:50:C2:A3:60/36	Shangjielect
00:50:C2:A3:C0/36	BrählerICSKo
00:50:C2:A6:30/36	EMSIndustrie
00:50:C2:A7:D0/36	VitelNet
00:50:C2:B0:30/36	SpiderTecnol
00:50:C2:B8:D0/36	Cemsi
00:50:C2:BF:90/36	VitelNet
00:50:C2:C4:40/36	Zhongherongz
00:50:C2:CC:20/36	ConectaIPTec
00:50:C2:CC:50/36	Tecnovum
00:50:C2:CC:A0/36	SanminaShenz
00:50:C2:CE:F0/36	Lupatecnolog
00:50:C2:E1:D0/36	HoldlineTecn
00:50:C2:EB:E0/36	GlobalTecnol
00:50:C2:EC:F0/36	TaiwanHiplus
00:50:C2:F3:10/36	RuetzTechnol
00:50:C2:F4:60/36	ReasonTecnol
00:50:C2:F8:D0/36	EastPower
00:50:C2:F9:F0/36	NanjingSACPo
00:50:C2:FC:F0/36	DINTEKShangh
00:50:EE	TekDigitel
00:55:B1	BaudDataComm
00:55:DA:20/28	ConnectedInf
00:55:DA:70/28	Lucistechnol
00:55:DA:90/28	QuantumCommu
00:56:6D	HuaweiDevice
00:56:F1	zte
00:59:07	LenovoEMCPro
00:5A:13	HuaweiTechno
00:5A:39	FastTechnolo
00:5B:A1	huayuanchuan
00:5C:86	FastTechnolo
00:5C:C2	MercuryCommu
00:5F:67	TPLink
00:60:67	AcerNetxus
00:60:D2	LucentTechno
00:61:51	HuaweiTechno
00:62:01	MotorolaMobi
00:66:19	HuaweiDevice
00:66:4B	HuaweiTechno
00:68:2B	HuaweiDevice
00:69:67:20/28	NingboShenLi
00:69:67:30/28	SuzhouRadian
00:69:67:50/28	XiaoBiEnCult
00:69:67:90/28	WiseIOTTechn
00:69:67:A0/28	ZhejiangHoli
00:69:67:E0/28	TianjinLianw
00:6A:5E:30/28	yeahmooTechn
00:6A:5E:70/28	JiangsuAlsto
00:6A:5E:D0/28	LingjiInnova
00:6B:6F	HuaweiTechno
00:6B:8E	FeixunCommun
00:6C:FD	SichuanChang
00:6D:61	GuangzhouVSO
00:73:8D	TINNOMobileT
00:7E:56	ChinaDragonT
00:80:C8	DLink
00:83:20	HuaweiDevice
00:8A:55	HuaweiDevice
00:8D:F4:10/28	Infinitesens
00:8D:F4:B0/28	GuangzhouLeg
00:8E:F2	Netgear
