C0:8A:CD         	GuangzhouShi	Guangzhou Shiyuan Electronic Technology Company Limited
C0:8B:05         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:8C:71         	MotorolaMobi	Motorola Mobility LLC, a Lenovo Company
C0:8F:20         	SkyworthDigi	Shenzhen Skyworth Digital Technology CO., Ltd
C0:91:20         	SichuanTiany	Sichuan Tianyi Comheart Telecom Co.,LTD
C0:92:96         	zte         	zte corporation
C0:94:AD         	zte         	zte corporation
C0:98:79         	Acer        	Acer Inc.
C0:98:DA         	ChinaMobileI	China Mobile IOT Company Limited
C0:9B:63         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:9B:F4:80/28   	WinsElectron	Shenzhen Wins Electronic Technology Co., Ltd
C0:9F:05         	OppoMobileTe	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
C0:9F:51         	SernetTechno	Sernet (Suzhou) Technologies Corporation
C0:9F:E1         	zte         	zte corporation
C0:A0:BB         	DLinkInterna	D-Link International
C0:A5:DD         	MercuryCommu	Shenzhen Mercury Communication Technologies Co.,Ltd.
C0:A9:38         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:AB:2B         	HuaweiDevice	Huawei Device Co., Ltd.
C0:AD:97         	TecnoMobile 	Tecno Mobile Limited
C0:AE:FD         	HCWLANTechno	Shenzhen HC-WLAN Technology Co.,Ltd
C0:B1:01         	zte         	zte corporation
C0:B4:7D         	HuaweiDevice	Huawei Device Co., Ltd.
C0:B5:CD         	HuaweiDevice	Huawei Device Co., Ltd.
C0:B7:13         	XiaoyuerTech	Beijing Xiaoyuer Technology Co. Ltd.
C0:BA:E6         	ZenitelGB   	Zenitel GB Ltd
C0:BC:9A         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:BF:AC         	HuaweiDevice	Huawei Device Co., Ltd.
C0:BF:C0         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:C1:70         	SuperElectro	Shenzhen SuperElectron Technology Co.,Ltd.
C0:C5:69         	LynucCncTech	Shanghai Lynuc Cnc Technology Co.,Ltd
C0:C9:76         	TINNOMobileT	Shenzhen TINNO Mobile Technology Corp.
C0:C9:E3         	TpLinkTechno	Tp-Link Technologies Co.,Ltd.
C0:CB:F1         	MobiwireMobi	Mobiwire Mobiles (NingBo) Co., LTD
C0:CC:42         	SichuanTiany	Sichuan Tianyi Comheart Telecom Co.,LTD
C0:D0:26         	HuaweiDevice	Huawei Device Co., Ltd.
C0:D0:FF         	ChinaMobileI	China Mobile IOT Company Limited
C0:D1:93         	HuaweiDevice	Huawei Device Co., Ltd.
C0:D4:6B         	HuaweiDevice	Huawei Device Co., Ltd.
C0:D9:41         	VMAXSoftware	Shenzhen VMAX Software Co., Ltd.
C0:DA:5E         	HuaweiDevice	Huawei Device Co., Ltd.
C0:DA:74         	SunyardTechn	Hangzhou Sunyard Technology Co., Ltd.
C0:DC:6A         	QingdaoEasts	Qingdao Eastsoft Communication Technology Co.,LTD
C0:DC:D7         	HuaweiDevice	Huawei Device Co., Ltd.
C0:E0:18         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:E1:BE         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:E3:50         	ChinaDragonT	China Dragon Technology Limited
C0:E3:FB         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:E4:2D         	TpLinkTechno	Tp-Link Technologies Co.,Ltd.
C0:E7:BF         	SichuanAILin	Sichuan AI-Link Technology Co., Ltd.
C0:EA:C3:00/28   	AnhuiShengji	Anhui Shengjiaruiduo Electronic Technology Co., Ltd.
C0:EA:C3:30/28   	QixunTechnol	Hangzhou Qixun Technology Co., Ltd
C0:EA:C3:E0/28   	Zhongyuanyis	Beijing Zhongyuanyishang Technology Co Ltd
C0:ED:E5         	OppoMobileTe	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
C0:EE:FB         	OnePlusTech 	OnePlus Tech (Shenzhen) Ltd
C0:F4:E6         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:F6:36         	KuaiyueTechn	Hangzhou Kuaiyue Technologies, Ltd.
C0:F6:C2         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:F6:EC         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:F9:B0         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:FB:C1         	ItelMobile  	Itel Mobile Limited
C0:FB:F9:30/28   	HeqiangElect	Shenzhen Heqiang Electronics Limited
C0:FB:F9:70/28   	LongSungTech	LongSung Technology (Shanghai) Co.,Ltd.
C0:FB:F9:A0/28   	TiandiAutoma	Tiandi(Changzhou) Automation Co., Ltd.
C0:FB:F9:B0/28   	ComixHstClou	Shenzhen Comix Hst Cloud Computing Co., Ltd.
C0:FB:F9:C0/28   	ElskyTechnol	Shenzhen Elsky Technology Co., Ltd
C0:FD:84         	zte         	zte corporation
C0:FF:A8         	HuaweiTechno	Huawei Technologies Co.,Ltd
C0:FF:D4         	Netgear     	Netgear
C4:00:AD         	AdvantechTec	Advantech Technology (CHINA) Co., Ltd.
C4:04:15         	Netgear     	Netgear
C4:04:7B         	YOUHUATechno	Shenzhen YOUHUA Technology Co., Ltd
C4:05:28         	HuaweiTechno	Huawei Technologies Co.,Ltd
C4:06:83         	HuaweiTechno	Huawei Technologies Co.,Ltd
C4:07:2F         	HuaweiTechno	Huawei Technologies Co.,Ltd
C4:08:26         	HisenseVisua	Hisense Visual Technology Co.,Ltd
C4:08:80         	UTEPOTech   	Shenzhen UTEPO Tech Co., Ltd.
C4:09:38         	FujianStarNe	Fujian Star-Net Communication Co.,Ltd
C4:0B:CB         	XiaomiCommun	Xiaomi Communications Co Ltd
C4:0D:96         	HuaweiTechno	Huawei Technologies Co.,Ltd
C4:0F:A6         	SernetTechno	Sernet (Suzhou) Technologies Corporation
C4:12:EC         	HuaweiTechno	Huawei Technologies Co.,Ltd
C4:12:F5         	DLinkInterna	D-Link International
C4:16:88         	HuaweiDevice	Huawei Device Co., Ltd.
C4:16:C8         	HuaweiTechno	Huawei Technologies Co.,Ltd
C4:17:0E         	HuaweiDevice	Huawei Device Co., Ltd.
C4:19:D1         	TelinkSemico	Telink Semiconductor (Shanghai) Co., Ltd.
C4:21:B9         	zte         	zte corporation
C4:27:28         	zte         	zte corporation
